"song","album","year","composer1","composer2","composer3","composer4"
"Wasted Years","Somewhere in Time",1986,"Adrian Smith","NA","NA","NA"
"Wasting Love","Fear of the Dark",1992,"Bruce Dickinson","Janick Gers","NA","NA"
"Weekend Warrior","Fear of the Dark",1992,"Steve Harris","Janick Gers","NA","NA"
"When the River Runs Deep","The Book of Souls",2015,"Adrian Smith","Steve Harris","NA","NA"
"When the Wild Wind Blows","The Final Frontier",2010,"Steve Harris","NA","NA","NA"
"When Two Worlds Collide","Virtual XI",1998,"Steve Harris","Blaze Bayley","Dave Murray","NA"
"Where Eagles Dare","Piece of Mind",1983,"Steve Harris","NA","NA","NA"
"Wildest Dreams","Dance of Death",2003,"Steve Harris","Adrian Smith","NA","NA"
"Women in Uniform""","""Women in Uniform""",1980,"Greg Macainsh","NA","NA","NA"
"Wrathchild","Killers",1981,"Steve Harris","NA","NA","NA"
